book_id,book_name,book_summary
0002009,铸工入门,本书结合我国铸造生产的实际情况，以铸铁件粘土砂手工造型为主线，阐述了配砂、造型、合箱、熔炼、烧注和清理等铸造生产的主要过程，并简要介绍了铸铁件工艺设计、铸件缺陷分析和几种最常见的特种铸造工艺流程。本书内容新颖，切合生产实际，对现实生产具有指导意义。本书是具有初中以上文化程序铸造工人的学习用书，同时也可供铸造专业技术人员参考。
6384044,宋元禅宗文学研究论集,    本书为国家社科基金项目“宋元禅宗文学研究”最终成果之一。宋元以来，禅宗成为中国传统思想文化的重要部分，禅僧丛林也构成了中国文学的重要作者群。古典文学的研究者大都重视禅宗对文人的影响，而相对忽略禅僧自身的文学创作（如禅僧诗、禅四六等）。本书以宋元两朝禅僧创作的文学为考察对象，分为四编，第一编《禅宗文学与典籍、人物综论》，第二编《禅僧诗研究》，第三编《各种禅门诗体、文体研究》，第四编《佛教通俗文学研究》。
6459734,人工智能的未来(第2版)(精),    当前，人工智能作为一项引领未来的颠覆性战略技术，已在经济、军事、社会等各领域广泛用，成为世界各国科技竞争和战略布局的重中之重。本书以人工智能的“起点、拐点、奇点、看不见的终点”为线，突出认知新思维、技术新发展、应用新构想，从人工智能前世今生、思维方法、大模型、机器学习、感知认知、人机交互、脑科学、机器人，以及无人智能作战和未来发展等多维度、多层次、多领域进行全面深入剖析。   本书适合人工智能的爱好者、从业者和军地相关人员阅读，可作为热爱科技、心系国防的广大师生和民众的科普读物，也可作为相关行业和学术领域研究者的参考书，以及大学相关课程的教材。
6463091,WPS AI智能办公技巧从入门到精通(视频教学版),    本书是一本专为追求高效办公的专业人士设计的实战手册。通过9大专题和90多个精选案例，带你深入探索WPSAI的无限可能。从AI写作到图像分析，每一个功能都配有详细的步骤和高清教学视频，确保你能够快速上手并精通这些智能工具。书中的案例设计紧贴实际工作需求，从团建游戏方案到短视频广告脚本，从请假条到营销报告PPT，每个案例都是职场中的实用场景。135个素材与效果文件，以及50+AI指令，让您在实际操作中迅速提升技能。无论您是WPS新手还是资深用户，都能在这里找到提升工作效率的诀窍。本书结构清晰，内容丰富，适合作为计算机专业教材，也适合任何希望在智能办公领域不断进步的读者参考。随着AI技术的不断进步，本书将帮助您保持竞争力，始终走在办公自动化的前沿，让效率与创造力并驾齐驱！
6425305,动漫的艺术分析,    本书共分为六章。第一章为“动漫艺术概述”，分别介绍卡通的概念、动画与漫画的名词解释、动漫的性质与特征；第二章为“中外动漫的历史渊源与演变”，主要分析卡通的产生与早期的漫画、欧美动漫艺术的发展与演变、日本动漫艺术的发展与演变和中国动漫的发展；第三章为“动漫的分类与风格”，对动漫艺术的应用门类、动漫艺术的风格样式进行分析；第四章为“动漫形象塑造”，主要介绍创作基础、形象设计定位和角色的塑造；第五章为“动漫造型要素”，分别介绍造型方法、形式法则和形象表现；第六章为“动漫美学”，分别论述动漫的美学特征、动漫语言和图像与超真实。
6440144,大数据审计(金蝶ERP实验课程指定教材),    本书聚焦审计实践技能的培养，基于会计师事务所前沿大数据应用实践案例，培养学生的大数据审计思维及全流程应用能力，打造复合型审计人才。本书共分为12章，第1章主要介绍大数据审计的概念、应用案例及与传统审计在审计目标、审计程序等方面的差异；第2章主要介绍大数据审计的工具和相关技术，包括金蝶大数据实训平台和可视化分析平台；第3～5章主要介绍审计大数据的采集、处理和挖掘分析；第6～12章引入一个完整的财务报表审计案例，并配备详细的审计资料，让读者沉浸式体验审计工作。本书提供丰富的教学资源，包括但不限于教学课件、操作视频、配套审计资料、答案。本书适合作为高等院校财务管理、会计学、审计学、工商管理、信息管理与信息系统等相关专业的本科生、研究生教材，也适合作为企业中高层财务管理人员和信息化主管的参考书。
6441607,当代中国政治治理问题及其儒家理论资源研究--大学中的政治伦理及其当代考量/当代中国社会道德理论与实践研究丛书,    本书分四个部分展开。导论部分介绍研究当代中国政治治理问题的意义以及《大学》的重要价值。文本解读部分说明文本诠释的诸前提性问题，并在进行初步阐释的基础上进行比较分析。观念与分析部分包括解读与分析《大学》政治伦理思想、梳理其历史流变并做社会史分析。当代考量部分首先通过相关考察，提出如何评估《大学》政治伦理的基本立场，然后评析当代儒学关于儒家德治现代转化的两种富有代表性的理路，最后对《大学》政治伦理提出一种当代诠释。
6453538,核技术的军事应用--核武器(第2版)/核能与核技术经典教材系列,    本书主要内容包括必要的核物理与核材料的基础知识，原子弹、氢弹、特殊性能核武器、核武器小型化等的基本原理，核武器的研究设计和核爆诊断方法，核武器系统的构成、核爆炸效应、战术技术性能等，以及核态势、核战略、核军备控制，核查技术、防止核扩散等方面的内容。本书可作为军事及核专业相关院校教材，也可供与核武器事业有关的领导、管理人员、专业人员、部队指战员，以及其他领域关注核武器事业的人士参考或作为培训教材。
6468502,血管战创伤学(精),    血管战创伤是一种日常与战争时都非常常见又凶险的损伤，处理不及时将严重威胁军民健康。在腔内微创治疗的时代大背景下，编者结合临床实践，紧扣技术前沿，以血管战创伤的救治为主线，从血管战创伤的病理基础出发，深入剖析院前救治、临床诊断及创伤复苏理论，同时还在传统治疗的基础上，重点分享了血管腔内微创救治理论和技术，针对不同部位的血管损伤，从解剖基础、诊断、救治原则、动静脉损伤、手术入路选择进行具体阐述。全书涵盖了血管创伤救治的各个阶段，以图示、表格、流程图等多种形式全面展现了救治方法，适合从事血管战创伤外科工作的医务人员阅读参考。
6474982,鱼在水底游了许久,    于裴决而言，钟影从来都不是在城堡里等待解救的公主。   她是离开城堡的公主。   而他，是想为她守住城堡的人。   他们从小一起长大，是别人嘴里的“青梅竹马”，也是朝朝暮暮的陪伴与依靠。   他心知自己应该做个公正无私、优秀磊落的兄长，但他从来都不是“无偏无私”的。   他想要钟影的喜欢。   “影影，我想照顾你。   “让我照顾你。”   钟影一头撞进裴决青涩的情思，如同误入一场花期。   鱼游水底，偶或摆尾，清晰一瞬，就是我爱你。
